unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1565812800.0,2019-08-14 08-PM,BTC/USDT,10137.77,10218.18,10103,10190.26,1220.28,12409943.8,NULL
1565809200.0,2019-08-14 07-PM,BTC/USDT,10174.16,10235,10127.01,10137.77,1226.92,12503845.47,NULL
1565805600.0,2019-08-14 06-PM,BTC/USDT,10239.28,10274.96,10150,10174.16,2034.97,20778869.1,NULL
1565802000.0,2019-08-14 05-PM,BTC/USDT,10347.13,10362.06,10100,10239.28,7580.38,77276528.13,NULL
1565798400.0,2019-08-14 04-PM,BTC/USDT,10514.08,10629,10339.57,10347.13,4079.08,42595118.04,NULL
1565794800.0,2019-08-14 03-PM,BTC/USDT,10517.77,10594.78,10471,10514.08,1558.12,16398199.58,NULL
1565791200.0,2019-08-14 02-PM,BTC/USDT,10593.62,10597.54,10462,10517.77,2025.28,21308153.94,NULL
1565787600.0,2019-08-14 01-PM,BTC/USDT,10633.17,10667.48,10571.61,10593.62,1125.78,11959928.13,NULL
1565784000.0,2019-08-14 12-PM,BTC/USDT,10556.7,10697,10552.4,10633.17,1952.13,20751775.49,NULL
1565780400.0,2019-08-14 11-AM,BTC/USDT,10534.12,10577.08,10469.39,10556.7,1291.17,13581600.28,NULL
1565776800.0,2019-08-14 10-AM,BTC/USDT,10517.63,10600.04,10517.63,10534.12,1681.34,17746030.56,NULL
1565773200.0,2019-08-14 09-AM,BTC/USDT,10477.88,10536.01,10410,10517.63,2297.01,24073687.81,NULL
1565769600.0,2019-08-14 08-AM,BTC/USDT,10620,10632.74,10430.87,10477.88,2605.72,27430292.9,NULL
1565766000.0,2019-08-14 07-AM,BTC/USDT,10627.49,10660.6,10588,10620,982.32,10436505.13,NULL
1565762400.0,2019-08-14 06-AM,BTC/USDT,10621.98,10670.79,10615.98,10627.49,1168.68,12437078.77,NULL
1565758800.0,2019-08-14 05-AM,BTC/USDT,10569.26,10637.45,10546.15,10621.98,951.74,10083659.85,NULL
1565755200.0,2019-08-14 04-AM,BTC/USDT,10656.83,10660.18,10568.3,10569.26,1022.2,10850934.53,NULL
1565751600.0,2019-08-14 03-AM,BTC/USDT,10690.15,10694.95,10613.26,10656.83,1060.86,11299450.73,NULL
1565748000.0,2019-08-14 02-AM,BTC/USDT,10617.91,10712.45,10541,10690.15,2355.47,25024537.97,NULL
1565744400.0,2019-08-14 01-AM,BTC/USDT,10765.02,10813.23,10579,10617.91,3757.58,40124759.81,NULL
1565740800.0,2019-08-14 12-AM,BTC/USDT,10892.71,10897.48,10750,10765.02,1666.31,18042321.9,NULL
1565737200.0,2019-08-13 11-PM,BTC/USDT,10897.12,10942.67,10880.01,10892.71,579.5,6322216.18,NULL
1565733600.0,2019-08-13 10-PM,BTC/USDT,10892.47,10938.99,10863.64,10897.12,561.43,6120312.86,NULL
1565730000.0,2019-08-13 09-PM,BTC/USDT,10914.24,10924.67,10858.04,10892.47,850.09,9255061.4,NULL
1565726400.0,2019-08-13 08-PM,BTC/USDT,10936.18,10981.69,10913.74,10914.24,682.56,7475780.27,NULL
1565722800.0,2019-08-13 07-PM,BTC/USDT,10925.37,10962,10905.2,10936.18,617.53,6752012.58,NULL
1565719200.0,2019-08-13 06-PM,BTC/USDT,10910,10958.87,10882.13,10925.37,1105.72,12080784.85,NULL
1565715600.0,2019-08-13 05-PM,BTC/USDT,10850,10935.93,10788.45,10910,3020.41,32806359.69,NULL
1565712000.0,2019-08-13 04-PM,BTC/USDT,10951.09,10993,10850,10850,2357.78,25740945.71,NULL
1565708400.0,2019-08-13 03-PM,BTC/USDT,11000.17,11024.57,10921,10951.09,2000.39,21954343.98,NULL
1565704800.0,2019-08-13 02-PM,BTC/USDT,11152.52,11152.52,10911,11000.17,5458.14,60252668.31,NULL
1565701200.0,2019-08-13 01-PM,BTC/USDT,11253.83,11269.62,11150,11152.52,2918.86,32718259.34,NULL
1565697600.0,2019-08-13 12-PM,BTC/USDT,11280.39,11298.93,11250,11253.83,654.17,7371427.35,NULL
1565694000.0,2019-08-13 11-AM,BTC/USDT,11260.02,11309.98,11240,11280.39,896.48,10114964.27,NULL
1565690400.0,2019-08-13 10-AM,BTC/USDT,11302.77,11310.73,11200,11260.02,2089.63,23525692.98,NULL
1565686800.0,2019-08-13 09-AM,BTC/USDT,11347.1,11349.28,11255.01,11302.77,1631.4,18433278.8,NULL
1565683200.0,2019-08-13 08-AM,BTC/USDT,11364.96,11364.96,11326,11347.1,565.8,6416881.08,NULL
1565679600.0,2019-08-13 07-AM,BTC/USDT,11363.33,11388.81,11311,11364.96,1377.86,15645401.55,NULL
1565676000.0,2019-08-13 06-AM,BTC/USDT,11393,11393,11361,11363.33,381.81,4343721.6,NULL
1565672400.0,2019-08-13 05-AM,BTC/USDT,11353.07,11394,11346.7,11393,619.2,7037666.2,NULL
1565668800.0,2019-08-13 04-AM,BTC/USDT,11394.06,11402.39,11350,11353.07,570.32,6482416.59,NULL
1565665200.0,2019-08-13 03-AM,BTC/USDT,11393.18,11403.15,11370,11394.06,387.16,4405999.98,NULL
